vcaa_school,vcaa_locality,case_type,exact_acara_name,fuzzy_candidate,fuzzy_score,acara_school_name,need_locality
kardinia internatl college,bell post hill,no_match,,Kardinia International College,82.1,y
keilor downs college,keilor downs,no_match,,Essendon Keilor College,74.4,Keilor Downs Secondary College
kensington comm high school,kensington,no_match,,Kensington Community High School,78.0,y
keysborough sc - acacia,keysborough,no_match,,Maryborough Education Centre,51.0,
keysborough sc - banksia,springvale south,no_match,,Keysborough Gardens Primary School,55.2,Keysborough Secondary College
kings college,warrnambool,no_match,,King's College,81.5,y
koo wee rup sec college,koo wee rup,no_match,,Koo Wee Rup Secondary College,69.2,y
korumburra sec college,korumburra,no_match,,Korumburra Secondary College,76.0,y
kyneton secondary college,kyneton,no_match,,Melton Secondary College,81.6,Kyneton High School
lakes entrance sec college,lakes entrance,no_match,,Lakes Entrance Secondary College,75.9,y
lakeside lutheran college,pakenham,no_match,,Geelong Lutheran College,69.4,Lakeside College
lalor north sec college,epping,no_match,,Lalor North Secondary College,73.1,y
lauriston girls school,armadale,no_match,,Lauriston Girls' School,84.4,y
lowther hall anglican gs,essendon,no_match,,Lowther Hall Anglican Grammar School,63.3,y
lynall hall community school,richmond,no_match,,Croydon Community School,65.4,Bindjiroo Yaluk Community School
mac.robertson girls' high schl,melbourne,no_match,,MacRobertson Girls High School,76.7,y
mackillop catholic reg college,werribee,no_match,,MacKillop Catholic Regional College,76.9,y
marian college ararat,ararat,no_match,,Marian College,68.6,Marian College,y
marian college myrtleford,myrtleford,no_match,,Myrtleford P-12 College,66.7,Marian College,y
marian college sunshine,sunshine west,no_match,,Sunshine College,71.8,Marian College,y
maribyrnong sec college,maribyrnong,no_match,,Maribyrnong College,81.0,y
marist - sion college,warragul,no_match,,Marist-Sion College,75.0,y
mary mackillop catholic college,leongatha,no_match,,Mary MacKillop Catholic Regional College,73.2,y
mary mackillop catholic regional coll,leongatha,no_match,,Mary MacKillop Catholic Regional College,80.5,y
matthew flinders girls' sc,geelong,no_match,,Matthew Flinders Girls Secondary College,63.6,y
melba college,croydon,no_match,,Kambrya College,71.4,Melba Secondary College
melbourne girls' college,richmond,no_match,,Melbourne Girls College,85.1,y
melbourne rudolf steiner schl,warranwood,no_match,,Melbourne Rudolf Steiner School,83.3,y
mentone girls' sec college,mentone,no_match,,Mentone Girls Secondary College,73.7,y
methodist ladies college,kew,no_match,,Methodist Ladies' College,85.7,y
mirboo north sec college,mirboo north,no_match,,Mirboo North Secondary College,74.1,y
montmorency sec college,montmorency,no_match,,Montmorency Secondary College,76.9,y
mortlake college,mortlake,no_match,,Mortlake P-12 College,75.7,y
mount alexander 7-12 coll,flemington,no_match,,Mount Alexander 7-12 College,83.0,y
mount beauty sec college,mount beauty,no_match,,Mount Beauty Secondary College,74.1,y
mount eliza sec college,mount eliza,no_match,,Mount Eliza Secondary College,73.1,y
mount erin college,frankston south,no_match,,Heathmont College,68.6,Mount Erin Secondary College
mount waverley sec college,mount waverley,no_match,,Mount Waverley Secondary College,75.9,y
mountain district christian sc,monbulk,no_match,,Mountain District Christian School,81.2,
mountain district comm college,boronia,no_match,,Neerim District Secondary College,60.3,
mountain district comm college,ferntree gully,no_match,,Neerim District Secondary College,60.3,
mullauna college,mitcham,no_match,,Padua College,69.0,Mullauna Secondary College
murtoa p-12 college,murtoa,no_match,,Murtoa College,72.7,y
narre warren sth p-12 college,narre warren south,no_match,,Narre Warren South P-12 College,80.0,y
neerim district sec college,neerim south,no_match,,Neerim District Secondary College,76.7,y
north geelong sec college,geelong north,no_match,,North Geelong Secondary College,75.0,y
north geelong sec college,north geelong,no_match,,North Geelong Secondary College,75.0,y
northern college of arts & tech,preston east,no_match,,Northern College of the Arts and Technology,64.9,y
nunawading christian college,nunawading,no_match,,Nunawading Christian College - Primary,75.8,Nunawading Christian College - Secondary
orbost secondary college,orbost,no_match,,Foster Secondary College,79.2,Orbost Community College
our lady of sacred heart coll,bentleigh,no_match,,Our Lady of the Sacred Heart College,64.6,y
overnewton anglican comm coll,keilor,no_match,,Overnewton Anglican Community College,75.8,y
pascoe vale girls sec college,pascoe vale,no_match,,Pascoe Vale Girls Secondary College,75.0,y
patterson river sec college,carrum,no_match,,Patterson River Secondary College,76.7,
patterson river sec college,seaford,no_match,,Patterson River Secondary College,76.7,y
penleigh & essendon grammar,keilor east,no_match,,Penleigh & Essendon Grammar School,78.7,y
phoenix p-12 comm coll,sebastopol,no_match,,Phoenix P-12 Community College,69.2,y
point cook senior sec college,point cook,no_match,,Point Cook Senior Secondary College,75.0,y
prace college,reservoir,no_match,,Parade College,74.1,Preston Reservoir Adult Community Education - Prace College campus
preshil the margaret lyttle ms,kew,no_match,,"Preshil, The Margaret Lyttle Memorial School",67.6,y
preston reservoir ace,reservoir,no_match,,Reservoir East Primary School,52.0,Preston Reservoir Adult Community Education - Prace College campus
princes hill sec college,princes hill,no_match,,Princes Hill Secondary College,74.1,y
sacred heart college geelong,newtown,no_match,,Sacred Heart College,70.8,y,y
sacred heart college kyneton,kyneton,no_match,,Sacred Heart College,70.8,y,y
saint ignatius college,drysdale,no_match,,Saint Ignatius College Geelong,73.1,y
salesian college,chadstone,no_match,,Marian College,73.3,Salesian College Chadstone
seda college,camberwell,no_match,,Padua College,72.0,SEDA College (Victoria)
seda college,hawthorn east,no_match,,Padua College,72.0,
shepparton ace sec college,shepparton,no_match,,Shepparton ACE Secondary College,69.0,y
siena college,camberwell,no_match,,Siena College Ltd,73.3,y
sirius college - eastmeadows,broadmeadows,no_match,,Damascus College,59.1,Sirius College
sirius college - ibrahim dellal,sunshine west,no_match,,Pyramid Hill College,54.9,
sirius college - keysborough,keysborough,no_match,,Keysborough Secondary College,66.7,
sirius college - meadow fair,broadmeadows,no_match,,Damascus College,59.1,
south oakleigh sec college,oakleigh south,no_match,,South Oakleigh College,79.2,y
springside west sec college,fraser rise,no_match,,Springside West Secondary College,76.7,y
st john's greek orth college,preston,no_match,,St John's College Preston,64.2,y
st mary of the angels school,nathalia,no_match,,St John the Evangelist School,70.2,St Mary of the Angels College
st mary's coptic orth college,coolaroo,no_match,,St Mary's Coptic Orthodox College,77.4,y
st monica's college,epping,no_match,,St Leonard's College,71.8,
st paul's anglican grammar schl,warragul,no_match,,St Paul's Anglican Grammar School,81.2,y
strathcona baptist girls gs,canterbury,no_match,,Strathcona Baptist Girls' Grammar,73.3,y
sunbury downs sec college,sunbury,no_match,,Sunbury Downs Secondary College,75.0,y
surf coast sec college,torquay,no_match,,Surf Coast Secondary College,72.0,y
swinburne senior sec college,hawthorn,no_match,,Swinburne Senior Secondary College,77.4,y
taylors lakes sec college,taylors lakes,no_match,,Taylors Lakes Secondary College,75.0,y
terang college sec campus,terang,no_match,,Geelong Baptist College,62.5,Terang College
the david scott school,frankston,no_match,,David Scott School,75.0,y
the hamilton & alexandra coll,hamilton,no_match,,The Hamilton and Alexandra College,73.0,y
trinity grammar school,kew,no_match,,Trinity Grammar School Kew,79.2,y
victorian college of the arts,southbank,no_match,,Victorian College For The Deaf,67.8,Victorian College Of The Arts Secondary School
warracknabeal sec college,warracknabeal,no_match,,Warracknabeal Secondary College,78.6,y
werrimull p-12 college,werrimull,no_match,,Merrilands College,60.0,Werrimull P-12 School
western heights sec college,hamlyn heights,no_match,,Western Heights Secondary College,76.7,y
western port sec college,hastings,no_match,,Western Port Secondary College,74.1,y
wheelers hill sec college,wheelers hill,no_match,,Wheelers Hill Secondary College,75.0,y
william ruthven sec college,reservoir,no_match,,William Ruthven Secondary College,76.7,y
wodonga senior sec college,wodonga,no_match,,Wodonga Senior Secondary College,75.9,y
wyndham central sec coll,werribee,no_match,,Wyndham Central Secondary College,70.2,y
wyndham comm & educ centre,werribee,no_match,,Wyndham Central Secondary College,54.2,
yarra hills sec coll mooroolbark,mooroolbark,no_match,,Yarra Hills Secondary College,55.7,Yarra Hills Secondary College
yarra hills sec coll mt evelyn,mount evelyn,no_match,,Yarra Hills Secondary College,61.0,
yarra valley grammar school,ringwood,no_match,,Yarra Valley Grammar,72.3,y
