vcaa_school,vcaa_locality,acara_school_name,need_acara_suburb,exclude
sacred heart college kyneton,kyneton,Sacred Heart College,y,
saint ignatius college,drysdale,Saint Ignatius College Geelong,,
salesian college,chadstone,Salesian College Chadstone,,
seda college,camberwell,SEDA College (Victoria),,
shepparton ace sec college,shepparton,Shepparton ACE Secondary College,,
siena college,camberwell,Siena College Ltd,,
sirius college - eastmeadows,broadmeadows,Sirius College,,
south oakleigh sec college,oakleigh south,South Oakleigh College,,
springside west sec college,fraser rise,Springside West Secondary College,,
st john's greek orth college,preston,St John's College Preston,,
st mary of the angels school,nathalia,St Mary of the Angels College,,
st mary's coptic orth college,coolaroo,St Mary's Coptic Orthodox College,,
st paul's anglican grammar schl,warragul,St Paul's Anglican Grammar School,,
strathcona baptist girls gs,canterbury,Strathcona Baptist Girls' Grammar,,
sunbury downs sec college,sunbury,Sunbury Downs Secondary College,,
surf coast sec college,torquay,Surf Coast Secondary College,,
swinburne senior sec college,hawthorn,Swinburne Senior Secondary College,,
taylors lakes sec college,taylors lakes,Taylors Lakes Secondary College,,
terang college sec campus,terang,Terang College,,
the david scott school,frankston,David Scott School,,
the hamilton & alexandra coll,hamilton,The Hamilton and Alexandra College,,
trinity grammar school,kew,Trinity Grammar School Kew,,
victorian college of the arts,southbank,Victorian College Of The Arts Secondary School,,
warracknabeal sec college,warracknabeal,Warracknabeal Secondary College,,
werrimull p-12 college,werrimull,Werrimull P-12 School,,
western heights sec college,hamlyn heights,Western Heights Secondary College,,
western port sec college,hastings,Western Port Secondary College,,
wheelers hill sec college,wheelers hill,Wheelers Hill Secondary College,,
william ruthven sec college,reservoir,William Ruthven Secondary College,,
wodonga senior sec college,wodonga,Wodonga Senior Secondary College,,
wyndham central sec coll,werribee,Wyndham Central Secondary College,,
yarra hills sec coll mooroolbark,mooroolbark,Yarra Hills Secondary College,,
yarra valley grammar school,ringwood,Yarra Valley Grammar,,
